method,family,k,dataset,auc_mean,stability_nogueira,bacc,n_feat,runtime_fs,difficulty_tier,dsk_median_auc,relative_auc
mi,Filter,5,Prostate_GSE6919_U95Av2,0.7282,0.1537,0.6736,5.0,,Hard,0.7076,0.0206
mi,Filter,5,Renal_GSE53757,0.8723,0.2646,0.8496,5.0,,Medium,0.8723,0.0
mi,Filter,10,Bladder_GSE31189,0.6083,0.1178,0.5503,10.0,,Hard,0.5965,0.0118
mi,Filter,10,Breast_GSE70947,0.935,0.4772,0.8647,10.0,,Medium,0.9285,0.0065
mi,Filter,10,Colorectal_GSE44076,0.9994,0.4022,0.9885,10.0,,Easy,0.9995,-0.0001
mi,Filter,10,Colorectal_GSE44861,0.8916,0.2967,0.8491,10.0,,Medium,0.8916,0.0
mi,Filter,10,Leukemia_GSE63270,1.0,0.5653,0.995,10.0,,Easy,1.0,0.0
mi,Filter,10,Liver_GSE14520_U133A,0.9818,0.7796,0.9643,10.0,,Easy,0.981,0.0008
mi,Filter,10,Liver_GSE76427,0.9722,0.6133,0.9546,10.0,,Easy,0.9696,0.0026
mi,Filter,10,Lung_GSE19804,0.9878,0.4932,0.961,10.0,,Easy,0.9851,0.0027
mi,Filter,10,Pancreatic_GSE16515,0.931,0.2185,0.8598,10.0,,Medium,0.9307,0.0003
mi,Filter,10,Prostate_GSE6919_U95Av2,0.7112,0.1763,0.6506,10.0,,Hard,0.7075,0.0037
mi,Filter,10,Renal_GSE53757,0.8714,0.2479,0.8495,10.0,,Medium,0.8714,0.0
mi,Filter,15,Bladder_GSE31189,0.5749,0.1226,0.5277,15.0,,Hard,0.6019,-0.027
mi,Filter,15,Breast_GSE70947,0.9334,0.4729,0.8695,15.0,,Medium,0.9319,0.0015
mi,Filter,15,Colorectal_GSE44076,0.9998,0.4845,0.9896,15.0,,Easy,0.9998,0.0
mi,Filter,15,Colorectal_GSE44861,0.8924,0.3424,0.8623,15.0,,Medium,0.8924,0.0
mi,Filter,15,Leukemia_GSE63270,1.0,0.6463,1.0,15.0,,Easy,1.0,0.0
mi,Filter,15,Liver_GSE14520_U133A,0.981,0.6938,0.9637,15.0,,Easy,0.982,-0.001
mi,Filter,15,Liver_GSE76427,0.9727,0.6119,0.9566,15.0,,Easy,0.9727,0.0
mi,Filter,15,Lung_GSE19804,0.9903,0.5752,0.9612,15.0,,Easy,0.9872,0.0031
mi,Filter,15,Pancreatic_GSE16515,0.9212,0.23,0.8594,15.0,,Medium,0.9281,-0.0069
mi,Filter,15,Prostate_GSE6919_U95Av2,0.6903,0.2024,0.6476,15.0,,Hard,0.7029,-0.0126
mi,Filter,15,Renal_GSE53757,0.8722,0.2291,0.8442,15.0,,Medium,0.8726,-0.0004
mi,Filter,20,Bladder_GSE31189,0.6001,0.1357,0.5587,20.0,,Hard,0.6283,-0.0282
mi,Filter,20,Breast_GSE70947,0.936,0.469,0.8732,20.0,,Medium,0.9346,0.0014
mi,Filter,20,Colorectal_GSE44076,1.0,0.5478,0.9906,20.0,,Easy,0.9998,0.0002
mi,Filter,20,Colorectal_GSE44861,0.896,0.3773,0.8527,20.0,,Medium,0.896,0.0
mi,Filter,20,Leukemia_GSE63270,1.0,0.6629,1.0,20.0,,Easy,1.0,0.0
mi,Filter,20,Liver_GSE14520_U133A,0.9802,0.6704,0.9648,20.0,,Easy,0.9822,-0.002
mi,Filter,20,Liver_GSE76427,0.9753,0.6162,0.9506,20.0,,Easy,0.968,0.0073
mi,Filter,20,Lung_GSE19804,0.9912,0.573,0.9612,20.0,,Easy,0.9878,0.0034
mi,Filter,20,Pancreatic_GSE16515,0.9229,0.2409,0.8502,20.0,,Medium,0.9281,-0.0052
mi,Filter,20,Prostate_GSE6919_U95Av2,0.6904,0.2246,0.6496,20.0,,Hard,0.6908,-0.0004
mi,Filter,20,Renal_GSE53757,0.8653,0.2187,0.8303,20.0,,Medium,0.8707,-0.0054
mi,Filter,30,Bladder_GSE31189,0.6153,0.1394,0.5768,30.0,,Hard,0.6312,-0.0159
mi,Filter,30,Breast_GSE70947,0.9335,0.4789,0.8718,30.0,,Medium,0.9373,-0.0038
mi,Filter,30,Colorectal_GSE44076,1.0,0.5767,0.9895,30.0,,Easy,0.9999,0.0001
mi,Filter,30,Colorectal_GSE44861,0.896,0.4012,0.8434,30.0,,Medium,0.896,0.0
mi,Filter,30,Leukemia_GSE63270,1.0,0.6569,1.0,30.0,,Easy,1.0,0.0
mi,Filter,30,Liver_GSE14520_U133A,0.9814,0.6714,0.9621,30.0,,Easy,0.9832,-0.0018
mi,Filter,30,Liver_GSE76427,0.9758,0.5971,0.9546,30.0,,Easy,0.9685,0.0073
mi,Filter,30,Lung_GSE19804,0.9897,0.5852,0.963,30.0,,Easy,0.989,0.0007
mi,Filter,30,Pancreatic_GSE16515,0.9152,0.2706,0.8556,30.0,,Medium,0.9336,-0.0184
mi,Filter,30,Prostate_GSE6919_U95Av2,0.6773,0.2425,0.6423,30.0,,Hard,0.6777,-0.0004
mi,Filter,30,Renal_GSE53757,0.8589,0.2246,0.8285,30.0,,Medium,0.8678,-0.0089
mi,Filter,50,Bladder_GSE31189,0.6001,0.1397,0.5478,50.0,,Hard,0.651,-0.0509
mi,Filter,50,Breast_GSE70947,0.9369,0.4868,0.8717,50.0,,Medium,0.9363,0.0006
mi,Filter,50,Colorectal_GSE44076,0.9999,0.597,0.9927,50.0,,Easy,0.9999,0.0
mi,Filter,50,Colorectal_GSE44861,0.9029,0.4532,0.8547,50.0,,Medium,0.8956,0.0073
mi,Filter,50,Leukemia_GSE63270,1.0,0.6721,1.0,50.0,,Easy,1.0,0.0
mi,Filter,50,Liver_GSE14520_U133A,0.9808,0.6973,0.961,50.0,,Easy,0.9824,-0.0016
mi,Filter,50,Liver_GSE76427,0.9763,0.6317,0.9469,50.0,,Easy,0.9711,0.0052
mi,Filter,50,Lung_GSE19804,0.9885,0.6094,0.961,50.0,,Easy,0.9885,0.0
mi,Filter,50,Pancreatic_GSE16515,0.9209,0.3292,0.8623,50.0,,Medium,0.9269,-0.006
mi,Filter,50,Prostate_GSE6919_U95Av2,0.6453,0.2846,0.5991,50.0,,Hard,0.6722,-0.0269
mi,Filter,50,Renal_GSE53757,0.8632,0.2374,0.816,50.0,,Medium,0.8676,-0.0044
mrmr,Filter,3,Bladder_GSE31189,0.5353,0.0333,0.5116,3.0,,Hard,0.5353,0.0
mrmr,Filter,3,Breast_GSE70947,0.929,0.4088,0.862,3.0,,Medium,0.9026,0.0264
mrmr,Filter,3,Colorectal_GSE44076,0.9987,0.5589,0.9865,3.0,,Easy,0.9975,0.0012
mrmr,Filter,3,Colorectal_GSE44861,0.9051,0.4621,0.8536,3.0,,Medium,0.8898,0.0153
mrmr,Filter,3,Leukemia_GSE63270,0.9938,0.5311,0.968,3.0,,Easy,0.9965,-0.0027
mrmr,Filter,3,Liver_GSE14520_U133A,0.977,0.9489,0.9631,3.0,,Easy,0.9747,0.0023
